date,vaccinated_min,vaccinated_max,vaccinated,fully_vaccinated_min,fully_vaccinated_max,fully_vaccinated,single_dose_vaccinated_min,single_dose_vaccinated_max,single_dose_vaccinated
2021-01-03,0,0,0,0,0,0,0,0,0
2021-01-04,4822,4822,4822,0,0,0,4822,4822,4822
2021-01-05,9645,9645,9645,0,0,0,9645,9645,9645
2021-01-06,14467,14467,14467,0,0,0,14467,14467,14467
2021-01-07,19290,19290,19290,0,0,0,19290,19290,19290
2021-01-08,24112,24112,24112,0,0,0,24112,24112,24112
2021-01-09,28935,28935,28935,0,0,0,28935,28935,28935
2021-01-10,33757,33757,33757,0,0,0,33757,33757,33757
2021-01-11,39929,39929,39929,0,0,0,39929,39929,39929
2021-01-12,46100,46100,46100,0,0,0,46100,46100,46100
2021-01-13,52272,52272,52272,0,0,0,52272,52272,52272
2021-01-14,58444,58444,58444,0,0,0,58444,58444,58444
2021-01-15,64616,64616,64616,0,0,0,64616,64616,64616
2021-01-16,70787,70787,70787,0,0,0,70787,70787,70787
2021-01-17,76959,76959,76959,0,0,0,76959,76959,76959
2021-01-18,89722,89722,89722,0,0,0,89722,89722,89722
2021-01-19,102486,102486,102486,0,0,0,102486,102486,102486
2021-01-20,115249,115249,115249,0,0,0,115249,115249,115249
2021-01-21,128012,128012,128012,0,0,0,128012,128012,128012
2021-01-22,140775,140775,140775,0,0,0,140775,140775,140775
2021-01-23,148717,153539,151128,0,0,0,143895,153539,148717
2021-01-24,156657,166302,161480,0,0,0,147012,166302,156657
2021-01-25,178260,192727,185494,0,0,0,163793,192727,178260
2021-01-26,199863,219153,209508,0,19290,9645,180573,219153,199863
2021-01-27,221466,245578,233522,0,24112,12056,197354,245578,221466
2021-01-28,243068,272003,257536,0,28935,14468,214133,272003,243068
2021-01-29,264671,293606,279138,4822,33757,19290,230914,288784,259849
2021-01-30,284925,315209,300067,9645,39929,24787,244996,305564,275280
2021-01-31,305179,336812,320996,14467,46100,30284,259079,322345,290712
2021-02-01,330424,363406,346915,19290,52272,35781,278152,344116,311134
2021-02-02,355669,390001,372835,24112,58444,41278,297225,365889,331557
2021-02-03,380914,416595,398754,28935,64616,46776,316298,387660,351979
2021-02-04,406159,443189,424674,33757,70787,52272,335372,409432,372402
2021-02-05,431404,468434,449919,39929,76959,58444,354445,428505,391475
2021-02-06,450425,493680,472052,46100,89355,67728,361070,447580,404325
2021-02-07,469445,518925,494185,52272,101752,77012,367693,466653,417173
2021-02-08,500408,543716,522062,58444,101752,80098,398656,485272,441964
2021-02-09,531371,568507,549939,64616,101752,83184,429619,503891,466755
2021-02-10,549938,593299,571618,70787,114148,92468,435790,522512,479151
2021-02-11,568504,618089,593296,76959,126544,101752,441960,541130,491545
2021-02-12,587071,636656,611864,89355,138940,114148,448131,547301,497716
2021-02-13,610092,655222,632657,101752,146882,124317,463210,553470,508340
2021-02-14,633115,686185,659650,101752,154822,128287,478293,584433,531363
2021-02-15,647728,721867,684798,101752,175891,138822,471837,620115,545976
2021-02-16,662341,757549,709945,101752,196960,149356,465381,655797,560589
2021-02-17,676954,793231,735092,101752,218029,159890,458925,691479,575202
2021-02-18,691569,828914,760242,101752,239097,170424,452472,727162,589817
2021-02-19,706182,864596,785389,101752,260166,180959,446016,762844,604430
2021-02-20,721610,887882,804746,114148,280420,197284,441190,773734,607462
2021-02-21,737038,911168,824103,126544,300674,213609,436364,784624,610494
2021-02-22,760975,948000,854488,138940,325965,232452,435010,809060,622035
2021-02-23,784912,984464,884688,151704,351256,251480,433656,832760,633208
2021-02-24,808849,1020929,914889,164467,376547,270507,432302,856462,644382
2021-02-25,832787,1044267,938527,190358,401838,296098,430949,853909,642429
2021-02-26,881114,1067603,974358,216250,402739,309494,478375,851353,664864
2021-02-27,929487,1090940,1010214,242141,403594,322868,525893,848799,687346
2021-02-28,977860,1114277,1046068,268032,404449,336240,573411,846245,709828
2021-03-01,1019015,1135218,1077116,289101,405304,347202,613711,846117,729914
2021-03-02,1060171,1155626,1107898,310704,406159,358432,654012,844922,749467
2021-03-03,1101326,1176033,1138680,332307,407014,369660,694312,843726,769019
2021-03-04,1142481,1191403,1166942,358947,407869,383408,734612,832456,783534
2021-03-05,1159246,1206772,1183009,385588,433114,409351,726132,821184,773658
2021-03-06,1182184,1222143,1202164,412228,452187,432208,729997,809915,769956
2021-03-07,1205122,1237513,1221318,438868,471259,455064,733863,798645,766254
2021-03-08,1221307,1277339,1249323,439769,495801,467785,725506,837570,781538
2021-03-09,1237492,1317210,1277351,440624,520342,480483,717150,876586,796868
2021-03-10,1264617,1357082,1310850,441479,533944,487712,730673,915603,823138
2021-03-11,1304803,1396953,1350878,442334,534484,488409,770319,954619,862469
2021-03-12,1344990,1436825,1390908,443189,535024,489106,809966,993636,901801
2021-03-13,1383799,1476696,1430248,444044,536941,490492,846858,1032652,939755
2021-03-14,1422609,1516568,1469588,444899,538858,491878,883751,1071669,977710
2021-03-15,1433739,1546346,1490042,445754,558361,502058,875378,1100592,987985
2021-03-16,1444870,1576072,1510471,446661,577863,512262,867007,1129411,998209
2021-03-17,1456000,1581408,1518704,471958,597366,534662,858634,1109450,984042
2021-03-18,1462842,1586742,1524792,497256,621156,559206,841686,1089486,965586
2021-03-19,1469683,1592078,1530880,522553,644948,583750,824735,1069525,947130
2021-03-20,1498451,1597994,1548222,547270,646813,597042,851638,1050724,951181
2021-03-21,1527219,1603910,1565564,571987,648678,610332,878541,1031923,955232
2021-03-22,1567925,1622546,1595236,595922,650543,623232,917382,1026624,972003
2021-03-23,1605735,1639805,1622770,621235,655305,638270,950430,1018570,984500
2021-03-24,1643544,1660943,1652244,642668,660067,651368,983477,1018275,1000876
2021-03-25,1681307,1683645,1682476,662537,664875,663706,1016432,1021108,1018770
2021-03-26,1700904,1719068,1709986,669685,687849,678767,1013055,1049383,1031219
2021-03-27,1734238,1756958,1745598,674367,697087,685727,1037151,1082591,1059871
2021-03-28,1774525,1793498,1784012,680398,699371,689884,1075154,1113100,1094127
2021-03-29,1836659,1851885,1844272,686429,701655,694042,1135004,1165456,1150230
2021-03-30,1874712,1908557,1891634,694175,728020,711098,1146692,1214382,1180537
2021-03-31,1913132,1965229,1939180,701921,754018,727970,1159114,1263308,1211211
2021-04-01,1951552,2021953,1986752,709615,780016,744816,1171536,1312338,1241937
2021-04-02,1989971,2078676,2034324,717310,806015,761662,1183956,1361366,1272661
2021-04-03,2028391,2110948,2069670,749456,832013,790734,1196378,1361492,1278935
2021-04-04,2079207,2143220,2111214,781602,845615,813608,1233592,1361618,1297605
2021-04-05,2157466,2202935,2180200,813748,859217,836482,1298249,1389187,1343718
2021-04-06,2229099,2264024,2246562,844520,879445,861982,1349654,1419504,1384579
2021-04-07,2301267,2325112,2313190,875293,899138,887216,1402129,1449819,1425974
2021-04-08,2373434,2387578,2380506,904688,918832,911760,1454602,1482890,1468746
2021-04-09,2450044,2458728,2454386,925399,934083,929741,1515961,1533329,1524645
2021-04-10,2536738,2544024,2540381,931964,939250,935607,1597488,1612060,1604774
2021-04-11,2617207,2629319,2623263,938530,950642,944586,1666565,1690789,1678677
2021-04-12,2720981,2737919,2729450,945096,962034,953565,1758947,1792823,1775885
2021-04-13,2834666,2843376,2839021,954805,963515,959160,1871151,1888571,1879861
2021-04-14,2948351,2948786,2948568,964561,964996,964778,1983355,1984225,1983790
2021-04-15,3051578,3054197,3052888,974316,976935,975626,2074643,2079881,2077262
2021-04-16,3142111,3164645,3153378,979034,1001568,990301,2140543,2185611,2163077
2021-04-17,3229691,3275094,3252392,983751,1029154,1006452,2200537,2291343,2245940
2021-04-18,3317272,3385541,3351406,988470,1056739,1022604,2260533,2397071,2328802
2021-04-19,3382973,3474110,3428542,994456,1085593,1040024,2297380,2479654,2388517
2021-04-20,3462098,3541753,3501926,1021368,1101023,1061196,2361075,2520385,2440730
2021-04-21,3541222,3609449,3575336,1048227,1116454,1082340,2424768,2561222,2492995
2021-04-22,3620221,3677070,3648646,1075161,1132010,1103586,2488211,2601909,2545060
2021-04-23,3704042,3744692,3724367,1102094,1142744,1122419,2561298,2642598,2601948
2021-04-24,3787767,3812313,3800040,1129028,1153574,1141301,2634193,2683285,2658739
2021-04-25,3849083,3879935,3864509,1155961,1186813,1171387,2662270,2723974,2693122
2021-04-26,3915196,3952353,3933774,1187284,1224441,1205862,2690755,2765069,2727912
2021-04-27,3976271,4018371,3997321,1225005,1267105,1246055,2709166,2793366,2751266
2021-04-28,4040244,4084392,4062318,1262725,1306873,1284799,2733371,2821667,2777519
2021-04-29,4104278,4165764,4135021,1285092,1346578,1315835,2757700,2880672,2819186
2021-04-30,4168314,4247140,4207727,1307457,1386283,1346870,2782031,2939683,2860857
2021-05-01,4233378,4328512,4280945,1329824,1424958,1377391,2808420,2998688,2903554
